χ²,L1,L2,L3,L4,L5,L6,L7,L8,c
409.7942368822706,0.0005373765804191901,0.001047747370017523,-0.002753591795016286,-0.00019601115499237698,0.0010056025606173483,7.0e-5,-0.0004985521597065914,0.0006177360874628548,0.00011667796732479452
413.6404438025526,0.0005420104860419487,0.0010596409072049578,-0.0027405057509735154,-0.0001944107848260356,0.0012100968808452792,7.0e-5,-0.0005523685133294452,0.0007391658163322502,9.091499557401887e-5
411.44736662628225,0.0005545234648590497,0.0010918411075131632,-0.0027997062936820907,-0.00020336138674594513,8.22720904355592e-5,7.0e-5,-0.0003384977280446672,0.00016972248586820675,0.00011236358570298731
410.4934917927784,0.0005506132043606619,0.0010919219008287614,-0.002780447025247507,-0.00021592013999898252,0.0006272378748655018,7.0e-5,-0.00043353043372376416,0.0004293637779488264,9.742408349494133e-5
412.724901767289,0.0005347985367146595,0.0010581080838101083,-0.0027874635821248032,-0.00020915455614286263,0.00026640616499134183,7.0e-5,-0.00033038000072041344,0.000250013215457513,0.00012894334516513895
413.38141892635923,0.0005338777344667324,0.0010737021097378624,-0.0027411463862669705,-0.00022807961877571888,0.00106460192052281,7.0e-5,-0.0004877236699865849,0.0005506772324070907,9.599414268713446e-5
414.02008901152715,0.0005388130593926869,0.0010574255413688723,-0.002755482103828436,-0.00019286920372686513,0.0007945783390341746,7.0e-5,-0.0004975606386425355,0.0006444376145586531,0.00010807050831974844
411.362879160382,0.0005684973953283406,0.0011105381907732775,-0.002799625750280573,-0.00020201854435485098,0.0006697046785735997,7.0e-5,-0.00044931889211134154,0.000484351962161444,0.00010006174622878287
411.3677789119996,0.0005156031231050041,0.00102592173902902,-0.0027235525950391535,-0.0002160606411788628,0.0014228483171755517,7.0e-5,-0.0006106912780568851,0.0008938606755883047,0.00010394980194512254
412.43837249926867,0.0005259029171082697,0.0010499190982123485,-0.002731458990520457,-0.00021958659316827545,0.0012073962499034258,7.0e-5,-0.0005086397322824072,0.0006032923865620164,0.0001112450622190504
